"time","MLoad.Sa","MLoad.Sb","MLoad.Sc","MLoad.Mpd","MLoad.Mpq","MLoad.Mnd","MLoad.Mnq","MLoad.Mhmd","MLoad.Mhmq","MGrid.Sa","MGrid.Sb","MGrid.Sc","DC_AC1.Sa","DC_AC1.Sb","DC_AC1.Sc","MGrid.Mpd","MGrid.Mpq","MGrid.Mnd","MGrid.Mnq","MGrid.Mhmd","MGrid.Mhmq","DC_AC1.Spd","DC_AC1.Spq","DC_AC1.Snd","DC_AC1.Snq","DC_AC1.Szmd","DC_AC1.Szmq","Va.v"
0,0,0,-21.2132,6.43676,-31.3331,0.634315,-43.5806,-7.07107,-15.1179,-4.65324,2.32662,2.32662,4.65324,-2.32662,-23.5398,-4.65324,-4.11205,-3.61119e-12,-4.11205,-3.03165e-12,-3.44265e-12,11.09,-31.3331,0.634315,-43.5806,-7.07107,-15.1179,169.706
0.0001,3.2935,-0.623948,-22.2209,6.78152,-29.2642,0.367072,-41.5002,-7.05076,-14.0254,-4.30542,2.01208,2.29334,7.59893,-2.63603,-24.5143,-4.30848,-5.01405,-0.377692,-4.9998,-3.03207e-12,-3.14323e-12,11.09,-29.2642,0.367072,-41.5002,-7.05076,-14.0254,169.585
0.0002,6.3905,-1.19065,-23.1802,7.1901,-27.3179,0.180091,-39.5202,-6.99423,-13.0221,-3.88882,1.69,2.19882,10.2793,-2.88065,-25.379,-3.8999,-5.80621,-0.872241,-5.74031,-3.00425e-12,-2.81261e-12,10,-27.3179,0.180091,-39.5202,-6.99423,-13.0221,169.223
0.0003,9.29777,-1.70058,-24.0899,7.65452,-25.4899,0.0658011,-37.6376,-6.90764,-12.1035,-3.41353,1.371,2.04254,12.7113,-3.07157,-26.1324,-3.43548,-6.49667,-1.45701,-6.33118,-2.98611e-12,-2.52428e-12,30,-25.4899,0.0658011,-37.6376,-6.90764,-12.1035,168.621
0.0004,12.0217,-2.15427,-24.949,8.16741,-23.7758,0.0171706,-35.849,-6.79659,-11.2649,-2.88943,1.06449,1.82494,14.9111,-3.21875,-26.7739,-2.92259,-7.09314,-2.10696,-6.77299,-2.93809e-12,-2.21094e-12,50,-23.7758,0.0171706,-35.849,-6.79659,-11.2649,167.78
0.0005,14.5683,-2.55231,-25.7565,8.72196,-22.1714,0.0276815,-34.1514,-6.66613,-10.502,-2.3261,0.778769,1.54733,16.8944,-3.33107,-27.3039,-2.36804,-7.6029,-2.79881,-7.069,-2.89534e-12,-1.93685e-12,0.016,-22.1714,0.0276815,-34.1514,-6.66613,-10.502,166.7
0.0006,16.9433,-2.89532,-26.5117,9.31189,-20.6721,0.0912972,-32.5414,-6.52085,-9.81041,-1.73281,0.521055,1.21176,18.6762,-3.41638,-27.7234,-1.77811,-8.0328,-3.51127,-7.22475,-2.83266e-12,-1.64173e-12,4.00193e-322,-20.6721,0.0912972,-32.5414,-6.52085,-9.81041,165.383
0.0007,19.1522,-3.18401,-27.2136,9.93144,-19.2736,0.202434,-31.0159,-6.36483,-9.18574,-1.11845,0.297514,0.820941,20.2706,-3.48152,-28.0345,-1.15856,-8.38932,-4.22506,-7.24773,-2.76392e-12,-1.37904e-12,7.13289e-316,-19.2736,0.202434,-31.0159,-6.36483,-9.18574,163.831
0.0008,21.2,-3.41909,-27.8615,10.5753,-17.9718,0.355935,-29.5716,-6.20175,-8.62379,-0.491481,0.113333,0.378148,21.6915,-3.53242,-28.2397,-0.514713,-8.67853,-4.92306,-7.14705,-2.68644e-12,-1.10974e-12,6.36599e-314,-17.9718,0.355935,-29.5716,-6.20175,-8.62379,162.046
0.0009,23.0916,-3.60136,-28.4548,11.2386,-16.7622,0.547042,-28.2054,-6.03488,-8.12046,0.140114,-0.0272304,-0.112884,22.9515,-3.57413,-28.3419,0.148585,-8.90614,-5.59031,-6.9331,-2.59897e-12,-8.52252e-13,4.94066e-324,-16.7622,0.547042,-28.2054,-6.03488,-8.12046,160.031
