"time","MLoad.Sa","MLoad.Sb","MLoad.Sc","MLoad.Mpd","MLoad.Mpq","MLoad.Mnq","MLoad.Mnd","MLoad.Mhmd","MLoad.Mhmq","MGrid.Sa","MGrid.Sb","MGrid.Sc","MGrid.Mpd","MGrid.Mpq","MGrid.Mnd","MGrid.Mnq","MGrid.Mhmd","MGrid.Mhmq","fuen1.Sa","fuen1.Sb","fuen1.Sc","fuen1.Spd","fuen1.Spq","fuen1.Snd","fuen1.Snq","fuen1.Szmd","fuen1.Szmq","fuen2.Sa","fuen2.Sb","fuen2.Sc","fuen2.Spd","fuen2.Spq","fuen2.Snd","fuen2.Snq","fuen2.Szmd","fuen2.Szmq","fuen3.Sa","fuen3.Sb","fuen3.Sc","fuen3.Spd","fuen3.Spq","fuen3.Snd","fuen3.Snq","fuen3.Szmd","fuen3.Szmq","Va.v"
0,0,0,0,43.3169,-75.7956,-75.7956,-43.3169,-3.41771e-12,16.5439,25.2269,-12.6134,-12.6134,25.2269,3.83005e+06,-3.10441e-10,3.83005e+06,4.42194e-12,1.771e-06,0.561038,-0.280519,-0.280519,15,-25.2652,-14.439,-25.2652,-1.13924e-12,5.51462,-5.34896,2.67448,2.67448,9.09,-25.2652,-14.439,-25.2652,-1.13924e-12,5.51462,-20.439,10.2195,10.2195,-6,-25.2652,-14.439,-25.2652,-1.13924e-12,5.51462,169.706
0.00048,0.00333861,-0.000291897,-0.00219822,0.00329815,0.000268108,-0.000214103,-0.000181768,0.000278108,-5.14726e-05,-17.7914,6.07673,11.7147,-18.0867,-0.0815188,-0.0288627,-0.0762381,-7.34383e-13,-1.28976e-12,14.7551,-5.03939,-9.71544,15,8.93693e-05,-6.05892e-05,-7.13678e-05,9.27026e-05,-1.71575e-05,8.94161,-3.05376,-5.88756,9.09,8.93693e-05,-6.05892e-05,-7.13678e-05,9.27026e-05,-1.71575e-05,-5.902,2.01614,3.88615,-6,8.93693e-05,-6.05892e-05,-7.13678e-05,9.27026e-05,-1.71575e-05,166.935
0.00096,0.00317419,0.000302025,-0.00262773,0.00334784,0.000279495,-0.0001791,-0.000218207,0.000264241,-0.000100842,-16.915,2.91166,14.0034,-18.0867,-0.0403923,-0.02675,-0.0302651,-7.30959e-13,-1.27018e-12,14.0283,-2.41448,-11.6136,0,9.31649e-05,-7.27357e-05,-5.96999e-05,8.80803e-05,-3.36138e-05,8.50118,-1.46306,-7.03784,2.37152e-322,9.31649e-05,-7.27357e-05,-5.96999e-05,8.80803e-05,-3.36138e-05,-5.61132,0.966183,4.64542,2.37152e-322,9.31649e-05,-7.27357e-05,-5.96999e-05,8.80803e-05,-3.36138e-05,158.712
0.00144,0.00290611,0.00091379,-0.00297142,0.00339946,0.000282642,-0.000136701,-0.000247654,0.000242182,-0.000146077,-15.4863,-0.348479,15.8348,-18.0866,0.000970754,0.000858774,0.000452627,-7.20986e-13,-1.24429e-12,12.8435,0.289291,-13.1325,0,9.42141e-05,-8.25512e-05,-4.5567e-05,8.07272e-05,-4.86922e-05,7.78314,0.175422,-7.95828,9.62472e-316,9.42141e-05,-8.25512e-05,-4.5567e-05,8.07272e-05,-4.86922e-05,-5.13739,-0.115321,5.25299,9.87301e-316,9.42141e-05,-8.25512e-05,-4.5567e-05,8.07272e-05,-4.86922e-05,145.307
0.00192,0.00254313,0.00152342,-0.00321808,0.00345032,0.000275735,-8.99887e-05,-0.000269516,0.000212363,-0.000186792,-13.5519,-3.59722,17.1491,-18.0865,0.0215364,0.0213733,0.00264551,-7.01544e-13,-1.22111e-12,11.2392,2.98361,-14.2225,2.29004e-316,9.19116e-05,-8.98387e-05,-2.99962e-05,7.07875e-05,-6.22641e-05,6.81094,1.80818,-8.61883,1.97626e-323,9.19116e-05,-8.98387e-05,-2.99962e-05,7.07875e-05,-6.22641e-05,-4.49569,-1.19306,5.68903,1.97626e-323,9.19116e-05,-8.98387e-05,-2.99962e-05,7.07875e-05,-6.22641e-05,127.157
0.0024,0.0020971,0.00211101,-0.00335965,0.00349898,0.000259141,-3.96187e-05,-0.000283221,0.000176189,-0.000221242,-11.1749,-6.72847,17.9034,-18.0865,0.0166886,0.0162152,-0.00394683,-6.58821e-13,-1.19394e-12,9.26787,5.58051,-14.8481,0,8.63804e-05,-9.44071e-05,-1.32062e-05,5.87295e-05,-7.37474e-05,5.61632,3.38189,-8.99793,1.18576e-322,8.63804e-05,-9.44071e-05,-1.32062e-05,5.87295e-05,-7.37474e-05,-3.70718,-2.23183,5.93929,1.18576e-322,8.63804e-05,-9.44071e-05,-1.32062e-05,5.87295e-05,-7.37474e-05,104.854
0.00288,0.00158259,0.00265738,-0.00339151,0.00354563,0.000242041,1.00066e-05,-0.000279784,0.000130574,-0.000250874,-8.43305,-9.63998,18.073,-18.0865,0.0249665,0.0205962,-0.014111,-7.87415e-13,-1.27845e-12,6.99392,7.99517,-14.9888,4.00193e-322,8.06804e-05,-9.32615e-05,3.33552e-06,4.35247e-05,-8.36248e-05,4.23831,4.84518,-9.0832,16,8.06804e-05,-9.32615e-05,3.33552e-06,4.35247e-05,-8.36248e-05,-2.7976,-3.19771,5.9956,16,8.06804e-05,-9.32615e-05,3.33552e-06,4.35247e-05,-8.36248e-05,79.1275
0.00336,0.0010164,0.00314466,-0.00331262,0.00364524,0.000351761,-2.20588e-05,-0.000144848,-3.55487e-06,-0.00029753,-5.41579,-12.2366,17.6524,-18.0864,3.04939,1.74242,-2.50254,-4.91556e-12,-2.56172e-12,4.49158,10.1487,-14.64,1.9098e-313,0.000117254,-4.82826e-05,-7.35292e-06,-1.18496e-06,-9.91767e-05,2.72189,6.15023,-8.87183,4.74303e-322,0.000117254,-4.82826e-05,-7.35292e-06,-1.18496e-06,-9.91767e-05,-1.79667,-4.05918,5.85613,4.74303e-322,0.000117254,-4.82826e-05,-7.35292e-06,-1.18496e-06,-9.91767e-05,50.8167
0.00384,0.000417017,0.00355697,-0.00312556,0.00374496,0.000378607,-6.12176e-05,-8.82032e-05,-0.000117465,-0.000299507,-2.2217,-14.4337,16.6554,-18.0863,7.63743,1.86214,-7.40694,-8.16799e-12,-2.1661e-12,1.84258,11.9709,-13.8132,9.88131e-323,0.000126202,-2.94011e-05,-2.04059e-05,-3.91551e-05,-9.98358e-05,1.1166,7.25444,-8.37075,2.42092e-322,0.000126202,-2.94011e-05,-2.04059e-05,-3.91551e-05,-9.98358e-05,-0.737051,-4.78809,5.52543,7.95446e-322,0.000126202,-2.94011e-05,-2.04059e-05,-3.91551e-05,-9.98358e-05,20.8465
0.00432,-0.000195989,0.00388082,-0.00283641,0.00353651,1.75293e-06,0.000292363,-0.000331358,8.88681e-05,-0.000288423,1.04491,-16.1596,15.1147,-18.0865,-7.11403,0.820626,7.06654,4.76504e-12,-1.56576e-12,-0.866594,13.4022,-12.5353,1.18576e-322,5.8431e-07,-0.000110453,9.74545e-05,2.96227e-05,-9.61411e-05,-0.525155,8.12184,-7.5964,1.04592e-315,5.8431e-07,-0.000110453,9.74545e-05,2.96227e-05,-9.61411e-05,0.346641,-5.36055,5.01419,9.6026e-316,5.8431e-07,-0.000110453,9.74545e-05,2.96227e-05,-9.61411e-05,-9.80442
0.0048,-0.000802585,0.00410565,-0.00245466,0.00377415,0.000164835,6.94416e-05,-0.000147249,-0.000151527,-0.000254179,4.27737,-17.3575,13.0801,-18.0862,7.26063,-3.33684,-6.44843,-5.4116e-12,-1.02102e-13,-3.54745,14.3958,-10.848,6.89797e-307,5.49448e-05,-4.90829e-05,2.31472e-05,-5.05092e-05,-8.47262e-05,-2.14975,8.7239,-6.57387,0,5.49448e-05,-4.90829e-05,2.31472e-05,-5.05092e-05,-8.47262e-05,1.41902,-5.75808,4.33934,7.8116e-315,5.49448e-05,-4.90829e-05,2.31472e-05,-5.05092e-05,-8.47262e-05,-40.1352
0.00528,-0.00138298,0.00422412,-0.00199273,0.00361852,8.13869e-06,0.00028527,-0.000188257,-8.81209e-05,-0.000270359,7.37023,-17.9889,10.6186,-18.0864,-3.55741,2.64766,2.37594,1.11247e-12,-2.06359e-12,-6.1125,14.9193,-8.80657,4.45037e-307,2.7129e-06,-6.27524e-05,9.509e-05,-2.93736e-05,-9.01196e-05,-3.70416,9.04121,-5.33676,0,2.7129e-06,-6.27524e-05,9.509e-05,-2.93736e-05,-9.01196e-05,2.44504,-5.96745,3.52269,0,2.7129e-06,-6.27524e-05,9.509e-05,-2.93736e-05,-9.01196e-05,-69.1554
0.00576,-0.00191821,0.00423235,-0.00146574,0.00372977,-3.07905e-06,0.000198123,-0.000120226,-0.000191042,-0.000211919,10.2223,-18.0326,7.81026,-18.0863,3.83556,-3.57676,-1.38504,-2.52365e-12,-1.26291e-14,-8.4779,14.9556,-6.47746,4.10074e-322,-1.02635e-06,-4.00753e-05,6.60411e-05,-6.36805e-05,-7.06396e-05,-5.13758,9.06319,-3.92532,0,-1.02635e-06,-4.00753e-05,6.60411e-05,-6.36805e-05,-7.06396e-05,3.39125,-5.98202,2.59105,0,-1.02635e-06,-4.00753e-05,6.60411e-05,-6.36805e-05,-7.06396e-05,-95.9172
0.00624,-0.00239079,0.00413007,-0.000890883,0.00376194,-5.5308e-05,0.000178265,-9.0464e-05,-0.000245902,-0.000154382,12.7406,-17.4875,4.74689,-18.0862,6.88549,-6.88529,-0.0519149,-3.38432e-12,1.39384e-12,-10.5665,14.5036,-3.93685,2.14326e-312,-1.8436e-05,-3.01547e-05,5.94215e-05,-8.19674e-05,-5.14607e-05,-6.40324,8.78924,-2.38572,2.46155e-312,-1.8436e-05,-3.01547e-05,5.94215e-05,-8.19674e-05,-5.14607e-05,4.2267,-5.8012,1.57478,2.1772e-316,-1.8436e-05,-3.01547e-05,5.94215e-05,-8.19674e-05,-5.14607e-05,-119.547
0.00672,-0.00278531,0.00392063,-0.000286927,0.00352454,-0.000109217,0.000403279,9.25085e-06,-0.000189052,-0.000223394,14.843,-16.3716,1.52854,-18.0865,-9.01107,8.45117,-3.12685,1.9036e-12,-5.01549e-12,-12.31,13.578,-1.26769,1.061e-313,-3.64058e-05,3.08362e-06,0.000134426,-6.30172e-05,-7.44648e-05,-7.45986,8.22836,-0.768216,4.79244e-322,-3.64058e-05,3.08362e-06,0.000134426,-6.30172e-05,-7.44648e-05,4.92406,-5.43086,0.507079,2.18211e-316,-3.64058e-05,3.08362e-06,0.000134426,-6.30172e-05,-7.44648e-05,-139.272
0.0072,-0.00308887,0.00361087,0.000326388,0.0037261,-0.00017673,0.000196508,-3.04139e-05,-0.000289246,-4.71821e-05,16.4604,-14.7206,-1.73978,-18.0863,7.65696,-5.77527,5.02745,-2.37686e-12,2.39035e-12,-13.6515,12.2089,1.44289,3.95253e-322,-5.89099e-05,-1.0138e-05,6.55028e-05,-9.64152e-05,-1.57274e-05,-8.27276,7.39866,0.874386,4.94066e-324,-5.89099e-05,-1.0138e-05,6.55028e-05,-9.64152e-05,-1.57274e-05,5.46074,-4.88328,-0.57717,0,-5.89099e-05,-1.0138e-05,6.55028e-05,-9.64152e-05,-1.57274e-05,-154.45
0.00768,-0.00329156,0.00321089,0.000929056,0.00348237,-0.000144587,0.000374874,0.000145319,-0.000257728,-0.000134712,17.5407,-12.5894,-4.95133,-18.0865,-8.14532,3.85208,-7.17689,2.54305e-13,-5.1376e-12,-14.5473,10.4412,4.10636,2.42092e-322,-4.81957e-05,4.84396e-05,0.000124958,-8.59093e-05,-4.49041e-05,-8.81564,6.32748,2.48845,2.47033e-323,-4.81957e-05,4.84396e-05,0.000124958,-8.59093e-05,-4.49041e-05,5.81895,-4.17612,-1.64255,-2.40202,-4.81957e-05,4.84396e-05,0.000124958,-8.59093e-05,-4.49041e-05,-164.584
0.00816,-0.00338676,0.00273377,0.00150137,0.00362251,-0.000281109,0.00019883,6.02752e-05,-0.000285861,3.76211e-05,18.0478,-10.0467,-8.0011,-18.0864,5.46184,-0.711779,5.41526,-9.06248e-13,1.57101e-12,-14.9679,8.33249,6.63571,1.02864e-315,-9.3703e-05,2.00917e-05,6.62766e-05,-9.52871e-05,1.25404e-05,-9.07052,5.04958,4.02122,1.18576e-322,-9.3703e-05,2.00917e-05,6.62766e-05,-9.52871e-05,1.25404e-05,5.98727,-3.33266,-2.65433,6.92262e-310,-9.3703e-05,2.00917e-05,6.62766e-05,-9.52871e-05,1.25404e-05,-169.343
